,fixture,gameID,referee,timezone,date,timestamp,periods,first,second,venue,venueID,name,city,status,long,short,elapsed,league,leagueID,leagueName,country,logo,flag,season,round,teams,home,homeTeamID,homeTeamName,homeTeamLogo,homeWinner,away,awayTeamID,awayTeamName,awayTeamLogo,awayWinner,goals,homeGoals,awayGoals,score,halftime,homeHalfTimeScore,awayhomeHalfTimeScore,fulltime,homeFullTimeScore,awayFullTimeScore,extratime,homeExtraTimeScore,awayExtraTimeScore,penalty,homePenaltyTimeScore,awayPenaltyTimeScore
10,,179939,None,UTC,2017-04-15T17:30:00+00:00,1492277400,,1492277400,1492281000,,None,Winner Stadium (Netanya),None,,Match Finished,FT,90,,383,Ligat Ha'al,Israel,https://media-4.api-sports.io/football/leagues/383.png,https://media-6.api-sports.io/flags/il.svg,2016,Championship Round - 4,,,604,Maccabi Tel Aviv,https://media-5.api-sports.io/football/teams/604.png,TRUE,,4495,Maccabi Petah Tikva,https://media-4.api-sports.io/football/teams/4495.png,FALSE,,2,0,,,1,0,,2,0,,None,None,,None,None
11,,179940,None,UTC,2017-04-17T18:00:00+00:00,1492452000,,1492452000,1492455600,,None,Yaakov Turner Toto Stadium (Be’ér Shéva (Beer Sheva) ),None,,Match Finished,FT,90,,383,Ligat Ha'al,Israel,https://media-4.api-sports.io/football/leagues/383.png,https://media-6.api-sports.io/flags/il.svg,2016,Championship Round - 4,,,563,Hapoel Beer Sheva,https://media-6.api-sports.io/football/teams/563.png,TRUE,,657,Beitar Jerusalem,https://media-4.api-sports.io/football/teams/657.png,FALSE,,2,0,,,0,0,,2,0,,None,None,,None,None
12,,179941,None,UTC,2017-04-22T15:00:00+00:00,1492873200,,1492873200,1492876800,,None,HaMoshava Stadium (Pétaḥ-Tiqva (Petach-Tikva)),None,,Match Finished,FT,90,,383,Ligat Ha'al,Israel,https://media-4.api-sports.io/football/leagues/383.png,https://media-6.api-sports.io/flags/il.svg,2016,Championship Round - 5,,,4495,Maccabi Petah Tikva,https://media-1.api-sports.io/football/teams/4495.png,FALSE,,4195,Maccabi Haifa,https://media-4.api-sports.io/football/teams/4195.png,TRUE,,0,1,,,0,1,,0,1,,None,None,,None,None
13,,179942,None,UTC,2017-04-22T17:15:00+00:00,1492881300,,1492881300,1492884900,,None,Doha Stadium (Sakhnin),None,,Match Finished,FT,90,,383,Ligat Ha'al,Israel,https://media-4.api-sports.io/football/leagues/383.png,https://media-6.api-sports.io/flags/il.svg,2016,Championship Round - 5,,,4481,Bnei Sakhnin,https://media-6.api-sports.io/football/teams/4481.png,FALSE,,563,Hapoel Beer Sheva,https://media-5.api-sports.io/football/teams/563.png,TRUE,,1,3,,,1,1,,1,3,,None,None,,None,None
14,,179943,None,UTC,2017-04-22T18:00:00+00:00,1492884000,,1492884000,1492887600,,None,Teddi Malcha Stadium (Jerusalem),None,,Match Finished,FT,90,,383,Ligat Ha'al,Israel,https://media-4.api-sports.io/football/leagues/383.png,https://media-6.api-sports.io/flags/il.svg,2016,Championship Round - 5,,,657,Beitar Jerusalem,https://media-6.api-sports.io/football/teams/657.png,None,,604,Maccabi Tel Aviv,https://media-1.api-sports.io/football/teams/604.png,None,,1,1,,,1,1,,1,1,,None,None,,None,None
15,,179944,None,UTC,2017-04-25T16:45:00+00:00,1493138700,,1493138700,1493142300,,None,Doha Stadium (Sakhnin),None,,Match Finished,FT,90,,383,Ligat Ha'al,Israel,https://media-4.api-sports.io/football/leagues/383.png,https://media-6.api-sports.io/flags/il.svg,2016,Championship Round - 6,,,4481,Bnei Sakhnin,https://media-1.api-sports.io/football/teams/4481.png,FALSE,,604,Maccabi Tel Aviv,https://media-2.api-sports.io/football/teams/604.png,TRUE,,1,3,,,0,0,,1,3,,None,None,,None,None
16,,179945,None,UTC,2017-04-25T18:00:00+00:00,1493143200,,1493143200,1493146800,,None,Sammy Ofer Stadium (Haifa),None,,Match Finished,FT,90,,383,Ligat Ha'al,Israel,https://media-4.api-sports.io/football/leagues/383.png,https://media-6.api-sports.io/flags/il.svg,2016,Championship Round - 6,,,4195,Maccabi Haifa,https://media-1.api-sports.io/football/teams/4195.png,FALSE,,563,Hapoel Beer Sheva,https://media-6.api-sports.io/football/teams/563.png,TRUE,,0,1,,,0,1,,0,1,,None,None,,None,None
17,,179946,None,UTC,2017-04-26T16:45:00+00:00,1493225100,,1493225100,1493228700,,None,Teddi Malcha Stadium (Jerusalem),None,,Match Finished,FT,90,,383,Ligat Ha'al,Israel,https://media-4.api-sports.io/football/leagues/383.png,https://media-6.api-sports.io/flags/il.svg,2016,Championship Round - 6,,,657,Beitar Jerusalem,https://media-4.api-sports.io/football/teams/657.png,TRUE,,4495,Maccabi Petah Tikva,https://media-4.api-sports.io/football/teams/4495.png,FALSE,,2,1,,,1,1,,2,1,,None,None,,None,None
18,,179947,None,UTC,2017-04-29T15:00:00+00:00,1493478000,,1493478000,1493481600,,None,HaMoshava Stadium (Pétaḥ-Tiqva (Petach-Tikva)),None,,Match Finished,FT,90,,383,Ligat Ha'al,Israel,https://media-4.api-sports.io/football/leagues/383.png,https://media-6.api-sports.io/flags/il.svg,2016,Championship Round - 7,,,4495,Maccabi Petah Tikva,https://media-6.api-sports.io/football/teams/4495.png,TRUE,,4481,Bnei Sakhnin,https://media-2.api-sports.io/football/teams/4481.png,FALSE,,1,0,,,0,0,,1,0,,None,None,,None,None
19,,179948,None,UTC,2017-04-29T17:10:00+00:00,1493485800,,1493485800,1493489400,,None,Teddi Malcha Stadium (Jerusalem),None,,Match Finished,FT,90,,383,Ligat Ha'al,Israel,https://media-4.api-sports.io/football/leagues/383.png,https://media-6.api-sports.io/flags/il.svg,2016,Championship Round - 7,,,657,Beitar Jerusalem,https://media-6.api-sports.io/football/teams/657.png,TRUE,,4195,Maccabi Haifa,https://media-2.api-sports.io/football/teams/4195.png,FALSE,,2,0,,,1,0,,2,0,,None,None,,None,None
