fixture,id,referee,timezone,date,timestamp,periods,first,second,venue,id,name,city,status,long,short,elapsed,league,id,name,country,logo,flag,season,round,teams,home,id,name,logo,winner,away,id,name,logo,winner,goals,home,away,score,halftime,home,away,fulltime,home,away,extratime,home,away,penalty,home,away
,179460,None,UTC,2019-04-15T18:00:00+00:00,1555351200,,1555351200,1555354800,,None,Winner Stadium (Netanya),None,,Match Finished,FT,90,,383,Ligat Ha'al,Israel,https://media-5.api-sports.io/football/leagues/383.png,https://media-2.api-sports.io/flags/il.svg,2018,Championship Round - 4,,,604,Maccabi Tel Aviv,https://media-5.api-sports.io/football/teams/604.png,None,,563,Hapoel Beer Sheva,https://media-2.api-sports.io/football/teams/563.png,None,,0,0,,,0,0,,0,0,,None,None,,None,None
,179461,None,UTC,2019-04-22T18:00:00+00:00,1555956000,,1555956000,1555959600,,None,Yaakov Turner Toto Stadium (Be’ér Shéva (Beer Sheva) ),None,,Match Finished,FT,90,,383,Ligat Ha'al,Israel,https://media-5.api-sports.io/football/leagues/383.png,https://media-2.api-sports.io/flags/il.svg,2018,Championship Round - 5,,,563,Hapoel Beer Sheva,https://media-5.api-sports.io/football/teams/563.png,False,,4195,Maccabi Haifa,https://media-1.api-sports.io/football/teams/4195.png,True,,0,1,,,0,0,,0,1,,None,None,,None,None
,179462,None,UTC,2019-04-23T16:00:00+00:00,1556035200,,1556035200,1556038800,,None,Winner Stadium (Netanya),None,,Match Finished,FT,90,,383,Ligat Ha'al,Israel,https://media-5.api-sports.io/football/leagues/383.png,https://media-2.api-sports.io/flags/il.svg,2018,Championship Round - 5,,,4505,Maccabi Netanya,https://media-4.api-sports.io/football/teams/4505.png,True,,4500,Hapoel Hadera,https://media-4.api-sports.io/football/teams/4500.png,False,,3,2,,,3,0,,3,2,,None,None,,None,None
,179463,None,UTC,2019-04-23T17:30:00+00:00,1556040600,,1556040600,1556044200,,None,HaMoshava Stadium (Pétaḥ-Tiqva (Petach-Tikva)),None,,Match Finished,FT,90,,383,Ligat Ha'al,Israel,https://media-5.api-sports.io/football/leagues/383.png,https://media-2.api-sports.io/flags/il.svg,2018,Championship Round - 5,,,4508,Bnei Yehuda,https://media-5.api-sports.io/football/teams/4508.png,False,,604,Maccabi Tel Aviv,https://media-5.api-sports.io/football/teams/604.png,True,,0,2,,,0,1,,0,2,,None,None,,None,None
,179464,None,UTC,2019-04-27T15:00:00+00:00,1556377200,,1556377200,1556380800,,None,Winner Stadium (Netanya),None,,Match Finished,FT,90,,383,Ligat Ha'al,Israel,https://media-5.api-sports.io/football/leagues/383.png,https://media-2.api-sports.io/flags/il.svg,2018,Championship Round - 6,,,4500,Hapoel Hadera,https://media-4.api-sports.io/football/teams/4500.png,False,,604,Maccabi Tel Aviv,https://media-4.api-sports.io/football/teams/604.png,True,,0,1,,,0,0,,0,1,,None,None,,None,None
,179465,None,UTC,2019-04-28T17:30:00+00:00,1556472600,,1556472600,1556476200,,None,Yaakov Turner Toto Stadium (Be’ér Shéva (Beer Sheva) ),None,,Match Finished,FT,90,,383,Ligat Ha'al,Israel,https://media-5.api-sports.io/football/leagues/383.png,https://media-2.api-sports.io/flags/il.svg,2018,Championship Round - 6,,,563,Hapoel Beer Sheva,https://media-4.api-sports.io/football/teams/563.png,False,,4505,Maccabi Netanya,https://media-5.api-sports.io/football/teams/4505.png,True,,0,2,,,0,1,,0,2,,None,None,,None,None
,179466,None,UTC,2019-04-29T18:00:00+00:00,1556560800,,1556560800,1556564400,,None,HaMoshava Stadium (Pétaḥ-Tiqva (Petach-Tikva)),None,,Match Finished,FT,90,,383,Ligat Ha'al,Israel,https://media-5.api-sports.io/football/leagues/383.png,https://media-2.api-sports.io/flags/il.svg,2018,Championship Round - 6,,,4508,Bnei Yehuda,https://media-6.api-sports.io/football/teams/4508.png,None,,4195,Maccabi Haifa,https://media-5.api-sports.io/football/teams/4195.png,None,,2,2,,,2,2,,2,2,,None,None,,None,None
,179467,None,UTC,2019-05-04T15:00:00+00:00,1556982000,,1556982000,1556985600,,None,Winner Stadium (Netanya),None,,Match Finished,FT,90,,383,Ligat Ha'al,Israel,https://media-5.api-sports.io/football/leagues/383.png,https://media-2.api-sports.io/flags/il.svg,2018,Championship Round - 7,,,4500,Hapoel Hadera,https://media-6.api-sports.io/football/teams/4500.png,False,,4505,Maccabi Netanya,https://media-5.api-sports.io/football/teams/4505.png,True,,1,2,,,0,0,,1,2,,None,None,,None,None
,179468,None,UTC,2019-05-05T17:30:00+00:00,1557077400,,1557077400,1557081000,,None,Winner Stadium (Netanya),None,,Match Finished,FT,90,,383,Ligat Ha'al,Israel,https://media-5.api-sports.io/football/leagues/383.png,https://media-2.api-sports.io/flags/il.svg,2018,Championship Round - 7,,,604,Maccabi Tel Aviv,https://media-2.api-sports.io/football/teams/604.png,False,,4508,Bnei Yehuda,https://media-2.api-sports.io/football/teams/4508.png,True,,2,3,,,1,1,,2,3,,None,None,,None,None
,179469,None,UTC,2019-05-06T18:00:00+00:00,1557165600,,1557165600,1557169200,,None,Sammy Ofer Stadium (Haifa),None,,Match Finished,FT,90,,383,Ligat Ha'al,Israel,https://media-5.api-sports.io/football/leagues/383.png,https://media-2.api-sports.io/flags/il.svg,2018,Championship Round - 7,,,4195,Maccabi Haifa,https://media-4.api-sports.io/football/teams/4195.png,True,,563,Hapoel Beer Sheva,https://media-1.api-sports.io/football/teams/563.png,False,,3,1,,,2,1,,3,1,,None,None,,None,None
