,Unnamed: 0,gameID,referee,date,timestamp,KOT,second,venueID,stadiums,city,leagueID,leagueName,country,logo,flag,season,round,homeTeamID,homeTeamName,homeTeamLogo,homeWinner,awayTeamID,awayTeamName,awayTeamLogo,awayWinner,homeGoals,awayGoals,homeHalfTimeScore,awayhomeHalfTimeScore,homeFullTimeScore,awayFullTimeScore,awayExtraTimeScore,awayPenaltyTimeScore,derby,while_world_cup,KOT_15_16,KOT_16_17,KOT_17_18,KOT_18_19,KOT_19_20,KOT_20_21,KOT_21_22,key_home,key_away,home_promoted,home_league_pts,home_pos,home_is_relegated,home_is_champion,away_promoted,away_league_pts,away_pos,away_is_relegated,away_is_champion,meanwhile_european_games
10,10,179939,None,2017-04-15,1492277400,20:30:00,1492281000,None,Winner Stadium (Netanya),None,383,Ligat Ha'al,Israel,https://media-4.api-sports.io/football/leagues/383.png,https://media-6.api-sports.io/flags/il.svg,2016,Championship Round - 4,604,Maccabi Tel Aviv,https://media-5.api-sports.io/football/teams/604.png,TRUE,4495,Maccabi Petah Tikva,https://media-4.api-sports.io/football/teams/4495.png,FALSE,2,0,1,0,2,0,None,None,0,0,0,0,0,0,0,1,0,Championship Round - 4 - 2016 - Maccabi Tel Aviv,Championship Round - 4 - 2016 - Maccabi Petah Tikva,0,9,2,,,0,0,6,,,1
11,11,179940,None,2017-04-17,1492452000,21:00:00,1492455600,None,Yaakov Turner Toto Stadium (Be’ér Shéva (Beer Sheva) ),None,383,Ligat Ha'al,Israel,https://media-4.api-sports.io/football/leagues/383.png,https://media-6.api-sports.io/flags/il.svg,2016,Championship Round - 4,563,Hapoel Beer Sheva,https://media-6.api-sports.io/football/teams/563.png,TRUE,657,Beitar Jerusalem,https://media-4.api-sports.io/football/teams/657.png,FALSE,2,0,0,0,2,0,None,None,0,0,0,0,0,0,0,0,1,Championship Round - 4 - 2016 - Hapoel Beer Sheva,Championship Round - 4 - 2016 - Beitar Jerusalem,0,12,1,,,0,6,3,,,1
12,12,179941,None,2017-04-22,1492873200,18:00:00,1492876800,None,HaMoshava Stadium (Pétaḥ-Tiqva (Petach-Tikva)),None,383,Ligat Ha'al,Israel,https://media-4.api-sports.io/football/leagues/383.png,https://media-6.api-sports.io/flags/il.svg,2016,Championship Round - 5,4495,Maccabi Petah Tikva,https://media-1.api-sports.io/football/teams/4495.png,FALSE,4195,Maccabi Haifa,https://media-4.api-sports.io/football/teams/4195.png,TRUE,0,1,0,1,0,1,None,None,0,0,0,0,0,1,0,0,0,Championship Round - 5 - 2016 - Maccabi Petah Tikva,Championship Round - 5 - 2016 - Maccabi Haifa,0,0,6,,,0,6,4,,,1
13,13,179942,None,2017-04-22,1492881300,20:15:00,1492884900,None,Doha Stadium (Sakhnin),None,383,Ligat Ha'al,Israel,https://media-4.api-sports.io/football/leagues/383.png,https://media-6.api-sports.io/flags/il.svg,2016,Championship Round - 5,4481,Bnei Sakhnin,https://media-6.api-sports.io/football/teams/4481.png,FALSE,563,Hapoel Beer Sheva,https://media-5.api-sports.io/football/teams/563.png,TRUE,1,3,1,1,1,3,None,None,0,0,0,0,0,0,0,1,0,Championship Round - 5 - 2016 - Bnei Sakhnin,Championship Round - 5 - 2016 - Hapoel Beer Sheva,0,6,5,,,0,15,1,,,1
14,14,179943,None,2017-04-22,1492884000,21:00:00,1492887600,None,Teddi Malcha Stadium (Jerusalem),None,383,Ligat Ha'al,Israel,https://media-4.api-sports.io/football/leagues/383.png,https://media-6.api-sports.io/flags/il.svg,2016,Championship Round - 5,657,Beitar Jerusalem,https://media-6.api-sports.io/football/teams/657.png,None,604,Maccabi Tel Aviv,https://media-1.api-sports.io/football/teams/604.png,None,1,1,1,1,1,1,None,None,0,0,0,0,0,0,0,0,1,Championship Round - 5 - 2016 - Beitar Jerusalem,Championship Round - 5 - 2016 - Maccabi Tel Aviv,0,7,3,,,0,10,2,,,1
15,15,179944,None,2017-04-25,1493138700,19:45:00,1493142300,None,Doha Stadium (Sakhnin),None,383,Ligat Ha'al,Israel,https://media-4.api-sports.io/football/leagues/383.png,https://media-6.api-sports.io/flags/il.svg,2016,Championship Round - 6,4481,Bnei Sakhnin,https://media-1.api-sports.io/football/teams/4481.png,FALSE,604,Maccabi Tel Aviv,https://media-2.api-sports.io/football/teams/604.png,TRUE,1,3,0,0,1,3,None,None,0,0,0,0,0,0,1,0,0,Championship Round - 6 - 2016 - Bnei Sakhnin,Championship Round - 6 - 2016 - Maccabi Tel Aviv,0,6,5,,,0,13,2,,,1
16,16,179945,None,2017-04-25,1493143200,21:00:00,1493146800,None,Sammy Ofer Stadium (Haifa),None,383,Ligat Ha'al,Israel,https://media-4.api-sports.io/football/leagues/383.png,https://media-6.api-sports.io/flags/il.svg,2016,Championship Round - 6,4195,Maccabi Haifa,https://media-1.api-sports.io/football/teams/4195.png,FALSE,563,Hapoel Beer Sheva,https://media-6.api-sports.io/football/teams/563.png,TRUE,0,1,0,1,0,1,None,None,0,0,0,0,0,0,0,0,1,Championship Round - 6 - 2016 - Maccabi Haifa,Championship Round - 6 - 2016 - Hapoel Beer Sheva,0,6,4,,,0,18,1,,,1
17,17,179946,None,2017-04-26,1493225100,19:45:00,1493228700,None,Teddi Malcha Stadium (Jerusalem),None,383,Ligat Ha'al,Israel,https://media-4.api-sports.io/football/leagues/383.png,https://media-6.api-sports.io/flags/il.svg,2016,Championship Round - 6,657,Beitar Jerusalem,https://media-4.api-sports.io/football/teams/657.png,TRUE,4495,Maccabi Petah Tikva,https://media-4.api-sports.io/football/teams/4495.png,FALSE,2,1,1,1,2,1,None,None,0,0,0,0,0,0,1,0,0,Championship Round - 6 - 2016 - Beitar Jerusalem,Championship Round - 6 - 2016 - Maccabi Petah Tikva,0,10,3,,,0,0,6,,,1
18,18,179947,None,2017-04-29,1493478000,18:00:00,1493481600,None,HaMoshava Stadium (Pétaḥ-Tiqva (Petach-Tikva)),None,383,Ligat Ha'al,Israel,https://media-4.api-sports.io/football/leagues/383.png,https://media-6.api-sports.io/flags/il.svg,2016,Championship Round - 7,4495,Maccabi Petah Tikva,https://media-6.api-sports.io/football/teams/4495.png,TRUE,4481,Bnei Sakhnin,https://media-2.api-sports.io/football/teams/4481.png,FALSE,1,0,0,0,1,0,None,None,0,0,0,0,0,1,0,0,0,Championship Round - 7 - 2016 - Maccabi Petah Tikva,Championship Round - 7 - 2016 - Bnei Sakhnin,0,3,6,,,0,6,4,,,1
19,19,179948,None,2017-04-29,1493485800,20:10:00,1493489400,None,Teddi Malcha Stadium (Jerusalem),None,383,Ligat Ha'al,Israel,https://media-4.api-sports.io/football/leagues/383.png,https://media-6.api-sports.io/flags/il.svg,2016,Championship Round - 7,657,Beitar Jerusalem,https://media-6.api-sports.io/football/teams/657.png,TRUE,4195,Maccabi Haifa,https://media-2.api-sports.io/football/teams/4195.png,FALSE,2,0,1,0,2,0,None,None,0,0,0,0,0,0,0,1,0,Championship Round - 7 - 2016 - Beitar Jerusalem,Championship Round - 7 - 2016 - Maccabi Haifa,0,13,3,,,0,6,5,,,1
