match_date,kot,round_type,season_round,home_team,away_team,home_score,away_score,referee,stadium,attendance,season
26/11/2019,6:55 pm,Regular round,Group A,Galatasaray,Club Brugge KV,1,1,Ivan Kruzliak,Ali Sami Yen Spor Kompleksi NEF Stadyumu,34500,2019
26/11/2019,9:00 pm,Regular round,Group A,Real Madrid,Paris Saint-Germain,2,2,Artur Soares Dias,Santiago Bernabéu,75534,2019
11/12/2019,9:00 pm,Regular round,Group A,Paris Saint-Germain,Galatasaray,5,0,Istvan Kovacs,Parc des Princes,46509,2019
11/12/2019,9:00 pm,Regular round,Group A,Club Brugge KV,Real Madrid,1,3,Tobias Stieler,Jan-Breydel-Stadion,27308,2019
18/09/2019,6:55 pm,Regular round,Group B,Olympiacos Piraeus,Tottenham Hotspur,2,2,Gianluca Rocchi,Stadio Georgios Karaiskakis,31001,2019
18/09/2019,9:00 pm,Regular round,Group B,Bayern Munich,Red Star Belgrade,3,0,Bobby Madden,Allianz Arena,70000,2019
01/10/2019,9:00 pm,Regular round,Group B,Tottenham Hotspur,Bayern Munich,2,7,Clément Turpin,Tottenham Hotspur Stadium,60127,2019
01/10/2019,9:00 pm,Regular round,Group B,Red Star Belgrade,Olympiacos Piraeus,3,1,Benoît Bastien,Rajko Mitić Stadium,43291,2019
22/10/2019,9:00 pm,Regular round,Group B,Tottenham Hotspur,Red Star Belgrade,5,0,Marco Guida,Tottenham Hotspur Stadium,51743,2019
22/10/2019,9:00 pm,Regular round,Group B,Olympiacos Piraeus,Bayern Munich,2,3,Danny Makkelie,Stadio Georgios Karaiskakis,31670,2019
06/11/2019,6:55 pm,Regular round,Group B,Bayern Munich,Olympiacos Piraeus,2,0,Pawel Raczkowski,Allianz Arena,63646,2019
06/11/2019,9:00 pm,Regular round,Group B,Red Star Belgrade,Tottenham Hotspur,0,4,Carlos del Cerro Grande,Rajko Mitić Stadium,42381,2019
26/11/2019,9:00 pm,Regular round,Group B,Tottenham Hotspur,Olympiacos Piraeus,4,2,Georgi Kabakov,Tottenham Hotspur Stadium,57024,2019
26/11/2019,9:00 pm,Regular round,Group B,Red Star Belgrade,Bayern Munich,0,6,Björn Kuipers,Rajko Mitić Stadium,44118,2019
11/12/2019,9:00 pm,Regular round,Group B,Olympiacos Piraeus,Red Star Belgrade,1,0,Daniele Orsato,Stadio Georgios Karaiskakis,31898,2019
11/12/2019,9:00 pm,Regular round,Group B,Bayern Munich,Tottenham Hotspur,3,1,Gianluca Rocchi,Allianz Arena,66353,2019
18/09/2019,9:00 pm,Regular round,Group C,GNK Dinamo Zagreb,Atalanta BC,4,0,Jesús Gil Manzano,Maksimir,28863,2019
18/09/2019,9:00 pm,Regular round,Group C,Shakhtar Donetsk,Manchester City,0,3,Artur Soares Dias,OSK Metalist,36675,2019
01/10/2019,6:55 pm,Regular round,Group C,Atalanta BC,Shakhtar Donetsk,1,2,Patrick Stiller,Giuseppe Meazza,26022,2019
01/10/2019,9:00 pm,Regular round,Group C,Manchester City,GNK Dinamo Zagreb,2,0,Serdar Gözübüyük,Etihad Stadium,49046,2019
22/10/2019,6:55 pm,Regular round,Group C,Shakhtar Donetsk,GNK Dinamo Zagreb,2,2,Mateu Lahoz,OSK Metalist,21526,2019
22/10/2019,9:00 pm,Regular round,Group C,Manchester City,Atalanta BC,5,1,Orel Grinfeld,Etihad Stadium,49308,2019
06/11/2019,9:00 pm,Regular round,Group C,GNK Dinamo Zagreb,Shakhtar Donetsk,3,3,Dr. Felix Brych,Maksimir,28316,2019
06/11/2019,9:00 pm,Regular round,Group C,Atalanta BC,Manchester City,1,1,Aleksey Kulbakov,Giuseppe Meazza,32147,2019
26/11/2019,9:00 pm,Regular round,Group C,Manchester City,Shakhtar Donetsk,1,1,Slavko Vincic,Etihad Stadium,52020,2019
26/11/2019,9:00 pm,Regular round,Group C,Atalanta BC,GNK Dinamo Zagreb,2,0,Sergey Karasev,Giuseppe Meazza,28365,2019
11/12/2019,6:55 pm,Regular round,Group C,GNK Dinamo Zagreb,Manchester City,1,4,Carlos del Cerro Grande,Maksimir,29385,2019
11/12/2019,6:55 pm,Regular round,Group C,Shakhtar Donetsk,Atalanta BC,0,3,Felix Zwayer,OSK Metalist,26536,2019
18/09/2019,9:00 pm,Regular round,Group D,Atlético de Madrid,Juventus FC,2,2,Danny Makkelie,Civitas Metropolitano,66283,2019
18/09/2019,9:00 pm,Regular round,Group D,Bayer 04 Leverkusen,Lokomotiv Moscow,1,2,Pawel Raczkowski,BayArena,26592,2019
01/10/2019,9:00 pm,Regular round,Group D,Lokomotiv Moscow,Atlético de Madrid,0,2,Orel Grinfeld,RZD Arena,27051,2019
01/10/2019,9:00 pm,Regular round,Group D,Juventus FC,Bayer 04 Leverkusen,3,0,Willie Collum,Allianz Stadium,34525,2019
22/10/2019,6:55 pm,Regular round,Group D,Atlético de Madrid,Bayer 04 Leverkusen,1,0,Artur Soares Dias,Civitas Metropolitano,56776,2019
22/10/2019,9:00 pm,Regular round,Group D,Juventus FC,Lokomotiv Moscow,2,1,Anastasios Sidiropoulos,Allianz Stadium,38547,2019
06/11/2019,6:55 pm,Regular round,Group D,Lokomotiv Moscow,Juventus FC,1,2,Ruddy Buquet,RZD Arena,26862,2019
06/11/2019,9:00 pm,Regular round,Group D,Bayer 04 Leverkusen,Atlético de Madrid,2,1,Damir Skomina,BayArena,28160,2019
26/11/2019,6:55 pm,Regular round,Group D,Lokomotiv Moscow,Bayer 04 Leverkusen,0,2,Michael Oliver,RZD Arena,25757,2019
26/11/2019,9:00 pm,Regular round,Group D,Juventus FC,Atlético de Madrid,1,0,Anthony Taylor,Allianz Stadium,40486,2019
11/12/2019,9:00 pm,Regular round,Group D,Bayer 04 Leverkusen,Juventus FC,0,2,Benoît Bastien,BayArena,29542,2019
11/12/2019,9:00 pm,Regular round,Group D,Atlético de Madrid,Lokomotiv Moscow,2,0,Viktor Kassai,Civitas Metropolitano,58426,2019
17/09/2019,9:00 pm,Regular round,Group E,Red Bull Salzburg,KRC Genk,6,2,Felix Zwayer,Red Bull Arena Salzburg,29520,2019
17/09/2019,9:00 pm,Regular round,Group E,SSC Napoli,Liverpool FC,2,0,Dr. Felix Brych,Stadio Diego Armando Maradona,38878,2019
02/10/2019,6:55 pm,Regular round,Group E,KRC Genk,SSC Napoli,0,0,Istvan Kovacs,Cegeka Arena,19962,2019
02/10/2019,9:00 pm,Regular round,Group E,Liverpool FC,Red Bull Salzburg,4,3,Andreas Ekberg,Anfield,52243,2019
23/10/2019,9:00 pm,Regular round,Group E,Red Bull Salzburg,SSC Napoli,2,3,Clément Turpin,Red Bull Arena Salzburg,29520,2019
23/10/2019,9:00 pm,Regular round,Group E,KRC Genk,Liverpool FC,1,4,Slavko Vincic,Cegeka Arena,19626,2019
05/11/2019,9:00 pm,Regular round,Group E,SSC Napoli,Red Bull Salzburg,1,1,Szymon Marciniak,Stadio Diego Armando Maradona,32862,2019
05/11/2019,9:00 pm,Regular round,Group E,Liverpool FC,KRC Genk,2,1,Ivan Kruzliak,Anfield,52611,2019
27/11/2019,9:00 pm,Regular round,Group E,Liverpool FC,SSC Napoli,1,1,Carlos del Cerro Grande,Anfield,52128,2019
27/11/2019,9:00 pm,Regular round,Group E,KRC Genk,Red Bull Salzburg,1,4,Mattias Gestranius,Cegeka Arena,17284,2019
10/12/2019,6:55 pm,Regular round,Group E,SSC Napoli,KRC Genk,4,0,Cüneyt Cakir,Stadio Diego Armando Maradona,22265,2019
10/12/2019,6:55 pm,Regular round,Group E,Red Bull Salzburg,Liverpool FC,0,2,Danny Makkelie,Red Bull Arena Salzburg,29520,2019
17/09/2019,6:55 pm,Regular round,Group F,Inter Milan,SK Slavia Prague,1,1,Ruddy Buquet,Giuseppe Meazza,50128,2019
17/09/2019,9:00 pm,Regular round,Group F,Borussia Dortmund,FC Barcelona,0,0,Ovidiu Hategan,SIGNAL IDUNA PARK,66099,2019
02/10/2019,6:55 pm,Regular round,Group F,SK Slavia Prague,Borussia Dortmund,0,2,Björn Kuipers,Fortuna Arena,20617,2019
02/10/2019,9:00 pm,Regular round,Group F,FC Barcelona,Inter Milan,2,1,Damir Skomina,Spotify Camp Nou,86141,2019
23/10/2019,9:00 pm,Regular round,Group F,Inter Milan,Borussia Dortmund,2,0,Anthony Taylor,Giuseppe Meazza,65673,2019
23/10/2019,9:00 pm,Regular round,Group F,SK Slavia Prague,FC Barcelona,1,2,Bobby Madden,Fortuna Arena,19170,2019
05/11/2019,6:55 pm,Regular round,Group F,FC Barcelona,SK Slavia Prague,0,0,Michael Oliver,Spotify Camp Nou,67023,2019
05/11/2019,9:00 pm,Regular round,Group F,Borussia Dortmund,Inter Milan,3,2,Danny Makkelie,SIGNAL IDUNA PARK,66099,2019
27/11/2019,9:00 pm,Regular round,Group F,SK Slavia Prague,Inter Milan,1,3,Szymon Marciniak,Fortuna Arena,19370,2019
27/11/2019,9:00 pm,Regular round,Group F,FC Barcelona,Borussia Dortmund,3,1,Clément Turpin,Spotify Camp Nou,90071,2019
10/12/2019,9:00 pm,Regular round,Group F,Inter Milan,FC Barcelona,1,2,Björn Kuipers,Giuseppe Meazza,71818,2019
10/12/2019,9:00 pm,Regular round,Group F,Borussia Dortmund,SK Slavia Prague,2,1,Sergey Karasev,SIGNAL IDUNA PARK,65079,2019
17/09/2019,6:55 pm,Regular round,Group G,Olympique Lyon,Zenit St. Petersburg,1,1,Michael Oliver,Groupama Stadium,47201,2019
17/09/2019,9:00 pm,Regular round,Group G,SL Benfica,RB Leipzig,1,2,Anastasios Sidiropoulos,Estádio da Luz,46460,2019
02/10/2019,9:00 pm,Regular round,Group G,RB Leipzig,Olympique Lyon,0,2,Mateu Lahoz,Red Bull Arena,40194,2019
02/10/2019,9:00 pm,Regular round,Group G,Zenit St. Petersburg,SL Benfica,3,1,Carlos del Cerro Grande,Gazprom Arena,51683,2019
23/10/2019,6:55 pm,Regular round,Group G,RB Leipzig,Zenit St. Petersburg,2,1,Ali Palabiyik,Red Bull Arena,41058,2019
23/10/2019,9:00 pm,Regular round,Group G,SL Benfica,Olympique Lyon,2,1,Ivan Kruzliak,Estádio da Luz,53035,2019
05/11/2019,6:55 pm,Regular round,Group G,Zenit St. Petersburg,RB Leipzig,0,2,Orel Grinfeld,Gazprom Arena,50452,2019
05/11/2019,9:00 pm,Regular round,Group G,Olympique Lyon,SL Benfica,3,1,Björn Kuipers,Groupama Stadium,51077,2019
27/11/2019,6:55 pm,Regular round,Group G,Zenit St. Petersburg,Olympique Lyon,2,0,Daniele Orsato,Gazprom Arena,51183,2019
27/11/2019,9:00 pm,Regular round,Group G,RB Leipzig,SL Benfica,2,2,Jesús Gil Manzano,Red Bull Arena,38339,2019
10/12/2019,9:00 pm,Regular round,Group G,Olympique Lyon,RB Leipzig,2,2,Anthony Taylor,Groupama Stadium,53288,2019
10/12/2019,9:00 pm,Regular round,Group G,SL Benfica,Zenit St. Petersburg,3,0,Mateu Lahoz,Estádio da Luz,40232,2019
17/09/2019,9:00 pm,Regular round,Group H,Ajax Amsterdam,LOSC Lille,3,0,Srdjan Jovanovic,Johan Cruijff ArenA,51441,2019
17/09/2019,9:00 pm,Regular round,Group H,Chelsea FC,Valencia CF,0,1,Cüneyt Cakir,Stamford Bridge,39469,2019
02/10/2019,9:00 pm,Regular round,Group H,LOSC Lille,Chelsea FC,1,2,Aleksey Kulbakov,Decathlon Arena-Stade Pierre-Mauroy,48523,2019
02/10/2019,9:00 pm,Regular round,Group H,Valencia CF,Ajax Amsterdam,0,3,Daniele Orsato,Mestalla,44659,2019
23/10/2019,6:55 pm,Regular round,Group H,Ajax Amsterdam,Chelsea FC,0,1,Ovidiu Hategan,Johan Cruijff ArenA,52482,2019
23/10/2019,9:00 pm,Regular round,Group H,LOSC Lille,Valencia CF,1,1,Deniz Aytekin,Decathlon Arena-Stade Pierre-Mauroy,47488,2019
05/11/2019,9:00 pm,Regular round,Group H,Valencia CF,LOSC Lille,4,1,Sergey Karasev,Mestalla,38252,2019
05/11/2019,9:00 pm,Regular round,Group H,Chelsea FC,Ajax Amsterdam,4,4,Gianluca Rocchi,Stamford Bridge,39132,2019
27/11/2019,6:55 pm,Regular round,Group H,Valencia CF,Chelsea FC,2,2,Felix Zwayer,Mestalla,43486,2019
27/11/2019,9:00 pm,Regular round,Group H,LOSC Lille,Ajax Amsterdam,0,2,Dr. Felix Brych,Decathlon Arena-Stade Pierre-Mauroy,48612,2019
10/12/2019,9:00 pm,Regular round,Group H,Chelsea FC,LOSC Lille,2,1,Anastasios Sidiropoulos,Stamford Bridge,40016,2019
10/12/2019,9:00 pm,Regular round,Group H,Ajax Amsterdam,Valencia CF,0,1,Clément Turpin,Johan Cruijff ArenA,51931,2019
18/02/2020,9:00 PM  2nd leg:,Regular round,last 16 1st leg,Borussia Dortmund,Paris Saint-Germain,2,1,Mateu Lahoz,SIGNAL IDUNA PARK,66099,2019
18/02/2020,9:00 PM  2nd leg:,Regular round,last 16 1st leg,Atlético de Madrid,Liverpool FC,1,0,Szymon Marciniak,Civitas Metropolitano,67443,2019
19/02/2020,9:00 PM  2nd leg:,Regular round,last 16 1st leg,Atalanta BC,Valencia CF,4,1,Michael Oliver,Giuseppe Meazza,44236,2019
19/02/2020,9:00 PM  2nd leg:,Regular round,last 16 1st leg,Tottenham Hotspur,RB Leipzig,0,1,Cüneyt Cakir,Tottenham Hotspur Stadium,60095,2019
25/02/2020,9:00 PM  2nd leg:,Regular round,last 16 1st leg,Chelsea FC,Bayern Munich,0,3,Clément Turpin,Stamford Bridge,36761,2019
25/02/2020,9:00 PM  2nd leg:,Regular round,last 16 1st leg,SSC Napoli,FC Barcelona,1,1,Dr. Felix Brych,Stadio Diego Armando Maradona,44388,2019
26/02/2020,9:00 PM  2nd leg:,Regular round,last 16 1st leg,Olympique Lyon,Juventus FC,1,0,Jesús Gil Manzano,Groupama Stadium,57335,2019
26/02/2020,9:00 PM  2nd leg:,Regular round,last 16 1st leg,Real Madrid,Manchester City,1,2,Daniele Orsato,Santiago Bernabéu,75615,2019
10/03/2020,9:00 PM  1st leg:,Regular round,last 16 2nd leg,RB Leipzig,Tottenham Hotspur,3,0,Carlos del Cerro Grande,Red Bull Arena,42146,2019
10/03/2020,9:00 PM  1st leg:,Regular round,last 16 2nd leg,Valencia CF,Atalanta BC,3,4,Ovidiu Hategan,Mestalla,0,2019
11/03/2020,9:00 PM  1st leg:,Regular round,last 16 2nd leg,Paris Saint-Germain,Borussia Dortmund,2,0,Anthony Taylor,Parc des Princes,0,2019
11/03/2020,9:00 PM  1st leg:,Regular round,last 16 2nd leg,Liverpool FC,Atlético de Madrid,2,3,Danny Makkelie,Anfield,52267,2019
07/08/2020,9:00 PM  1st leg:,Regular round,last 16 2nd leg,Juventus FC,Olympique Lyon,2,1,Felix Zwayer,Allianz Stadium,0,2019
07/08/2020,9:00 PM  1st leg:,Regular round,last 16 2nd leg,Manchester City,Real Madrid,2,1,Dr. Felix Brych,Etihad Stadium,0,2019
08/08/2020,9:00 PM  1st leg:,Regular round,last 16 2nd leg,FC Barcelona,SSC Napoli,3,1,Cüneyt Cakir,Spotify Camp Nou,0,2019
08/08/2020,9:00 PM  1st leg:,Regular round,last 16 2nd leg,Bayern Munich,Chelsea FC,4,1,Ovidiu Hategan,Allianz Arena,0,2019
23/08/2020,9:00 pm,Regular round,Final,Paris Saint-Germain,Bayern Munich,0,1,Daniele Orsato,Estádio da Luz,0,2019
21/10/2020,6:55 pm,Regular round,Group A,Red Bull Salzburg,Lokomotiv Moscow,2,2,Serdar Gözübüyük,Red Bull Arena Salzburg,3000,2020
21/10/2020,9:00 pm,Regular round,Group A,Bayern Munich,Atlético de Madrid,4,0,Michael Oliver,Allianz Arena,0,2020
27/10/2020,6:55 pm,Regular round,Group A,Lokomotiv Moscow,Bayern Munich,1,2,Istvan Kovacs,RZD Arena,8196,2020
27/10/2020,9:00 pm,Regular round,Group A,Atlético de Madrid,Red Bull Salzburg,3,2,Ovidiu Hategan,Civitas Metropolitano,0,2020
03/11/2020,6:55 pm,Regular round,Group A,Lokomotiv Moscow,Atlético de Madrid,1,1,Benoît Bastien,RZD Arena,8147,2020
03/11/2020,9:00 pm,Regular round,Group A,Red Bull Salzburg,Bayern Munich,2,6,Danny Makkelie,Red Bull Arena Salzburg,0,2020
25/11/2020,9:00 pm,Regular round,Group A,Atlético de Madrid,Lokomotiv Moscow,0,0,Slavko Vincic,Civitas Metropolitano,0,2020
25/11/2020,9:00 pm,Regular round,Group A,Bayern Munich,Red Bull Salzburg,3,1,Orel Grinfeld,Allianz Arena,0,2020
01/12/2020,6:55 pm,Regular round,Group A,Lokomotiv Moscow,Red Bull Salzburg,1,3,Ali Palabiyik,RZD Arena,6759,2020
01/12/2020,9:00 pm,Regular round,Group A,Atlético de Madrid,Bayern Munich,1,1,Clément Turpin,Civitas Metropolitano,0,2020
09/12/2020,9:00 pm,Regular round,Group A,Bayern Munich,Lokomotiv Moscow,2,0,Sandro Schärer,Allianz Arena,0,2020
09/12/2020,9:00 pm,Regular round,Group A,Red Bull Salzburg,Atlético de Madrid,0,2,Anthony Taylor,Red Bull Arena Salzburg,0,2020
21/10/2020,6:55 pm,Regular round,Group B,Real Madrid,Shakhtar Donetsk,2,3,Srdjan Jovanovic,Estadio Alfredo Di Stéfano,0,2020
21/10/2020,9:00 pm,Regular round,Group B,Inter Milan,Borussia Mönchengladbach,2,2,Björn Kuipers,Giuseppe Meazza,1000,2020
27/10/2020,6:55 pm,Regular round,Group B,Shakhtar Donetsk,Inter Milan,0,0,Georgi Kabakov,NSK Olimpiyskyi,0,2020
27/10/2020,9:00 pm,Regular round,Group B,Borussia Mönchengladbach,Real Madrid,2,2,Orel Grinfeld,Stadion im Borussia-Park,0,2020
03/11/2020,6:55 pm,Regular round,Group B,Shakhtar Donetsk,Borussia Mönchengladbach,0,6,Serdar Gözübüyük,NSK Olimpiyskyi,0,2020
03/11/2020,9:00 pm,Regular round,Group B,Real Madrid,Inter Milan,3,2,Clément Turpin,Estadio Alfredo Di Stéfano,0,2020
25/11/2020,6:55 pm,Regular round,Group B,Borussia Mönchengladbach,Shakhtar Donetsk,4,0,Cüneyt Cakir,Stadion im Borussia-Park,0,2020
25/11/2020,9:00 pm,Regular round,Group B,Inter Milan,Real Madrid,0,2,Anthony Taylor,Giuseppe Meazza,0,2020
01/12/2020,6:55 pm,Regular round,Group B,Shakhtar Donetsk,Real Madrid,2,0,Ovidiu Hategan,NSK Olimpiyskyi,0,2020
01/12/2020,9:00 pm,Regular round,Group B,Borussia Mönchengladbach,Inter Milan,2,3,Danny Makkelie,Stadion im Borussia-Park,0,2020
09/12/2020,9:00 pm,Regular round,Group B,Inter Milan,Shakhtar Donetsk,0,0,Slavko Vincic,Giuseppe Meazza,0,2020
09/12/2020,9:00 pm,Regular round,Group B,Real Madrid,Borussia Mönchengladbach,2,0,Björn Kuipers,Estadio Alfredo Di Stéfano,0,2020
21/10/2020,9:00 pm,Regular round,Group C,Manchester City,FC Porto,3,1,Andris Treimanis,Etihad Stadium,0,2020
21/10/2020,9:00 pm,Regular round,Group C,Olympiacos Piraeus,Olympique Marseille,1,0,Daniele Orsato,Stadio Georgios Karaiskakis,0,2020
27/10/2020,9:00 pm,Regular round,Group C,FC Porto,Olympiacos Piraeus,2,0,Daniel Siebert,Estádio do Dragão,3750,2020
27/10/2020,9:00 pm,Regular round,Group C,Olympique Marseille,Manchester City,0,3,Tobias Stieler,Orange Vélodrome,0,2020
03/11/2020,9:00 pm,Regular round,Group C,Manchester City,Olympiacos Piraeus,3,0,Carlos del Cerro Grande,Etihad Stadium,0,2020
03/11/2020,9:00 pm,Regular round,Group C,FC Porto,Olympique Marseille,3,0,Mateu Lahoz,Estádio do Dragão,0,2020
25/11/2020,6:55 pm,Regular round,Group C,Olympiacos Piraeus,Manchester City,0,1,Davide Massa,Stadio Georgios Karaiskakis,0,2020
25/11/2020,9:00 pm,Regular round,Group C,Olympique Marseille,FC Porto,0,2,Andreas Ekberg,Orange Vélodrome,0,2020
01/12/2020,9:00 pm,Regular round,Group C,FC Porto,Manchester City,0,0,Björn Kuipers,Estádio do Dragão,0,2020
01/12/2020,9:00 pm,Regular round,Group C,Olympique Marseille,Olympiacos Piraeus,2,1,Jesús Gil Manzano,Orange Vélodrome,0,2020
09/12/2020,9:00 pm,Regular round,Group C,Manchester City,Olympique Marseille,3,0,Halil Umut Meler,Etihad Stadium,0,2020
09/12/2020,9:00 pm,Regular round,Group C,Olympiacos Piraeus,FC Porto,0,2,Dr. Felix Brych,Stadio Georgios Karaiskakis,0,2020
21/10/2020,9:00 pm,Regular round,Group D,Ajax Amsterdam,Liverpool FC,0,1,Dr. Felix Brych,Johan Cruijff ArenA,0,2020
21/10/2020,9:00 pm,Regular round,Group D,FC Midtjylland,Atalanta BC,0,4,Artur Soares Dias,MCH Arena,132,2020
27/10/2020,9:00 pm,Regular round,Group D,Liverpool FC,FC Midtjylland,2,0,Pawel Raczkowski,Anfield,0,2020
27/10/2020,9:00 pm,Regular round,Group D,Atalanta BC,Ajax Amsterdam,2,2,Damir Skomina,Gewiss Stadium,0,2020
03/11/2020,9:00 pm,Regular round,Group D,FC Midtjylland,Ajax Amsterdam,1,2,Bobby Madden,MCH Arena,0,2020
03/11/2020,9:00 pm,Regular round,Group D,Atalanta BC,Liverpool FC,0,5,Ovidiu Hategan,Gewiss Stadium,0,2020
25/11/2020,9:00 pm,Regular round,Group D,Ajax Amsterdam,FC Midtjylland,3,1,Sergey Karasev,Johan Cruijff ArenA,0,2020
25/11/2020,9:00 pm,Regular round,Group D,Liverpool FC,Atalanta BC,0,2,Carlos del Cerro Grande,Anfield,0,2020
01/12/2020,9:00 pm,Regular round,Group D,Atalanta BC,FC Midtjylland,1,1,Anastasios Sidiropoulos,Gewiss Stadium,0,2020
01/12/2020,9:00 pm,Regular round,Group D,Liverpool FC,Ajax Amsterdam,1,0,Tobias Stieler,Anfield,0,2020
09/12/2020,6:55 pm,Regular round,Group D,FC Midtjylland,Liverpool FC,1,1,François Letexier,MCH Arena,147,2020
09/12/2020,6:55 pm,Regular round,Group D,Ajax Amsterdam,Atalanta BC,0,1,Carlos del Cerro Grande,Johan Cruijff ArenA,0,2020
20/10/2020,9:00 pm,Regular round,Group E,Chelsea FC,Sevilla FC,0,0,Davide Massa,Stamford Bridge,0,2020
20/10/2020,9:00 pm,Regular round,Group E,Stade Rennais FC,FK Krasnodar,1,1,Anastasios Sidiropoulos,Roazhon Park,4973,2020
28/10/2020,6:55 pm,Regular round,Group E,FK Krasnodar,Chelsea FC,0,4,Ali Palabiyik,Stadion Krasnodar,10544,2020
28/10/2020,9:00 pm,Regular round,Group E,Sevilla FC,Stade Rennais FC,1,0,Cüneyt Cakir,Ramón Sánchez-Pizjuán,0,2020
04/11/2020,9:00 pm,Regular round,Group E,Sevilla FC,FK Krasnodar,3,2,Dr. Felix Brych,Ramón Sánchez-Pizjuán,0,2020
04/11/2020,9:00 pm,Regular round,Group E,Chelsea FC,Stade Rennais FC,3,0,Felix Zwayer,Stamford Bridge,0,2020
24/11/2020,6:55 pm,Regular round,Group E,Stade Rennais FC,Chelsea FC,1,2,Björn Kuipers,Roazhon Park,0,2020
24/11/2020,6:55 pm,Regular round,Group E,FK Krasnodar,Sevilla FC,1,2,Marco Guida,Stadion Krasnodar,10554,2020
02/12/2020,6:55 pm,Regular round,Group E,FK Krasnodar,Stade Rennais FC,1,0,Willie Collum,Stadion Krasnodar,8747,2020
02/12/2020,9:00 pm,Regular round,Group E,Sevilla FC,Chelsea FC,0,4,Artur Soares Dias,Ramón Sánchez-Pizjuán,0,2020
08/12/2020,9:00 pm,Regular round,Group E,Stade Rennais FC,Sevilla FC,1,3,Bartosz Frankowski,Roazhon Park,0,2020
08/12/2020,9:00 pm,Regular round,Group E,Chelsea FC,FK Krasnodar,1,1,Pavel Kralovec,Stamford Bridge,2000,2020
20/10/2020,6:55 pm,Regular round,Group F,Zenit St. Petersburg,Club Brugge KV,1,2,Benoît Bastien,Gazprom Arena,16682,2020
20/10/2020,9:00 pm,Regular round,Group F,SS Lazio,Borussia Dortmund,3,1,Clément Turpin,Olimpico di Roma,1000,2020
28/10/2020,9:00 pm,Regular round,Group F,Borussia Dortmund,Zenit St. Petersburg,2,0,Björn Kuipers,SIGNAL IDUNA PARK,0,2020
28/10/2020,9:00 pm,Regular round,Group F,Club Brugge KV,SS Lazio,1,1,Anthony Taylor,Jan-Breydel-Stadion,0,2020
04/11/2020,6:55 pm,Regular round,Group F,Zenit St. Petersburg,SS Lazio,1,1,Artur Soares Dias,Gazprom Arena,17427,2020
04/11/2020,9:00 pm,Regular round,Group F,Club Brugge KV,Borussia Dortmund,0,3,Damir Skomina,Jan-Breydel-Stadion,0,2020
24/11/2020,9:00 pm,Regular round,Group F,SS Lazio,Zenit St. Petersburg,3,1,Michael Oliver,Olimpico di Roma,0,2020
24/11/2020,9:00 pm,Regular round,Group F,Borussia Dortmund,Club Brugge KV,3,0,Ivan Kruzliak,SIGNAL IDUNA PARK,0,2020
02/12/2020,9:00 pm,Regular round,Group F,Club Brugge KV,Zenit St. Petersburg,3,0,Serdar Gözübüyük,Jan-Breydel-Stadion,0,2020
02/12/2020,9:00 pm,Regular round,Group F,Borussia Dortmund,SS Lazio,1,1,Mateu Lahoz,SIGNAL IDUNA PARK,0,2020
08/12/2020,6:55 pm,Regular round,Group F,SS Lazio,Club Brugge KV,2,2,Cüneyt Cakir,Olimpico di Roma,0,2020
08/12/2020,6:55 pm,Regular round,Group F,Zenit St. Petersburg,Borussia Dortmund,1,2,Istvan Kovacs,Gazprom Arena,10860,2020
20/10/2020,6:55 pm,Regular round,Group G,Dynamo Kyiv,Juventus FC,0,2,Ovidiu Hategan,NSK Olimpisky,14850,2020
20/10/2020,9:00 pm,Regular round,Group G,FC Barcelona,Ferencvárosi TC,5,1,Sandro Schärer,Spotify Camp Nou,0,2020
28/10/2020,9:00 pm,Regular round,Group G,Ferencvárosi TC,Dynamo Kyiv,2,2,Ivan Kruzliak,Groupama Aréna,6171,2020
28/10/2020,9:00 pm,Regular round,Group G,Juventus FC,FC Barcelona,0,2,Danny Makkelie,Allianz Stadium,0,2020
04/11/2020,9:00 pm,Regular round,Group G,FC Barcelona,Dynamo Kyiv,2,1,Michael Oliver,Spotify Camp Nou,0,2020
04/11/2020,9:00 pm,Regular round,Group G,Ferencvárosi TC,Juventus FC,1,4,Orel Grinfeld,Puskás Aréna,18531,2020
24/11/2020,9:00 pm,Regular round,Group G,Dynamo Kyiv,FC Barcelona,0,4,Matej Jug,NSK Olimpisky,0,2020
24/11/2020,9:00 pm,Regular round,Group G,Juventus FC,Ferencvárosi TC,2,1,Daniel Siebert,Allianz Stadium,0,2020
02/12/2020,9:00 pm,Regular round,Group G,Ferencvárosi TC,FC Barcelona,0,3,Aleksey Kulbakov,Puskás Aréna,0,2020
02/12/2020,9:00 pm,Regular round,Group G,Juventus FC,Dynamo Kyiv,3,0,Stéphanie Frappart,Allianz Stadium,0,2020
08/12/2020,9:00 pm,Regular round,Group G,Dynamo Kyiv,Ferencvárosi TC,1,0,Andreas Ekberg,NSK Olimpisky,0,2020
08/12/2020,9:00 pm,Regular round,Group G,FC Barcelona,Juventus FC,0,3,Tobias Stieler,Spotify Camp Nou,0,2020
20/10/2020,9:00 pm,Regular round,Group H,Paris Saint-Germain,Manchester United,1,2,Mateu Lahoz,Parc des Princes,0,2020
20/10/2020,9:00 pm,Regular round,Group H,RB Leipzig,Basaksehir FK,2,0,Jesús Gil Manzano,Red Bull Arena,999,2020
28/10/2020,6:55 pm,Regular round,Group H,Basaksehir FK,Paris Saint-Germain,0,2,Andreas Ekberg,Başakşehir Fatih Terim,0,2020
