match_date,kot,round_type,season_round,home_team,away_team,home_position,away_position,underdog,home_score,away_score,referee,stadium,attendance,season
18/09/2022,7:15 PM,Regular round,5,Hapoel Jerusalem,Maccabi Haifa,3,2,Hapoel Jerusalem,3,0,Aviad Shiloah,Teddy-Kollek-Stadion,6831,2022
01/10/2022,5:00 PM,Regular round,6,Ironi Kiryat Shmona,Hapoel Haifa,8,7,Ironi Kiryat Shmona,1,1,David Fucsman,Kiryat Shmona Municipal Stadium,2048,2022
01/10/2022,6:15 PM,Regular round,6,FC Ashdod,Hapoel Hadera,6,9,Hapoel Hadera,1,1,Gal Leibovitz,Yud-Alef Stadion,695,2022
01/10/2022,7:00 PM,Regular round,6,Maccabi Netanya,Hapoel Beer Sheva,11,4,Maccabi Netanya,1,2,Roi Reinshreiber,Netanya Stadium,5190,2022
01/10/2022,7:30 PM,Regular round,6,Maccabi Haifa,Maccabi Tel Aviv,1,3,Maccabi Tel Aviv,2,0,Eitan Shmuelevic,Sammy Ofer Stadium,29761,2022
02/10/2022,6:00 PM,Regular round,6,Ihud Bnei Sakhnin,Sekzia Ness Ziona,5,13,Sekzia Ness Ziona,2,0,Gal Levi,Doha Stadium,2100,2022
02/10/2022,7:15 PM,Regular round,6,Hapoel Tel Aviv,Hapoel Jerusalem,12,2,Hapoel Tel Aviv,1,3,Niv Steif,Bloomfield,8700,2022
03/10/2022,7:15 PM,Regular round,6,Beitar Jerusalem,Maccabi Bnei Reineh,14,10,Beitar Jerusalem,2,3,Erez Papir,Bloomfield,8500,2022
08/10/2022,5:00 PM,Regular round,7,Sekzia Ness Ziona,Maccabi Netanya,12,11,Sekzia Ness Ziona,1,1,Orel Grinfeld,HaMoshava Stadium,2119,2022
08/10/2022,6:00 PM,Regular round,7,Hapoel Jerusalem,Ihud Bnei Sakhnin,3,5,Ihud Bnei Sakhnin,1,2,Snir Levi,Teddy-Kollek-Stadion,2000,2022
08/10/2022,6:30 PM,Regular round,7,Hapoel Hadera,Beitar Jerusalem,7,14,Beitar Jerusalem,2,1,Igal Frid,Netanya Stadium,3580,2022
08/10/2022,7:15 PM,Regular round,7,Maccabi Bnei Reineh,Maccabi Haifa,8,2,Maccabi Bnei Reineh,1,0,Idan Leiba,Green Stadium,4796,2022
10/10/2022,6:00 PM,Regular round,7,Ironi Kiryat Shmona,FC Ashdod,10,6,Ironi Kiryat Shmona,1,1,Shalom Ben Avraham,Kiryat Shmona Municipal Stadium,1958,2022
10/10/2022,7:00 PM,Regular round,7,Hapoel Beer Sheva,Hapoel Haifa,4,9,Hapoel Haifa,2,2,Aviad Shiloah,Toto Jacob Turner Stadium,12693,2022
10/10/2022,7:30 PM,Regular round,7,Maccabi Tel Aviv,Hapoel Tel Aviv,1,13,Hapoel Tel Aviv,3,0,Roi Reinshreiber,Bloomfield,27642,2022
15/10/2022,4:30 PM,Regular round,8,Hapoel Tel Aviv,Maccabi Bnei Reineh,12,8,Hapoel Tel Aviv,2,0,Orel Grinfeld,Bloomfield,8700,2022
15/10/2022,6:00 PM,Regular round,8,FC Ashdod,Hapoel Haifa,5,10,Hapoel Haifa,4,0,Eitan Shmuelevic,Yud-Alef Stadion,1112,2022
15/10/2022,6:45 PM,Regular round,8,Beitar Jerusalem,Ironi Kiryat Shmona,13,9,Beitar Jerusalem,2,0,Idan Leiba,Teddy-Kollek-Stadion,6000,2022
15/10/2022,7:15 PM,Regular round,8,Ihud Bnei Sakhnin,Maccabi Tel Aviv,6,1,Ihud Bnei Sakhnin,0,1,David Fucsman,Doha Stadium,5000,2022
17/10/2022,6:30 PM,Regular round,8,Maccabi Netanya,Hapoel Jerusalem,11,3,Maccabi Netanya,0,2,Ohad Asulin,Netanya Stadium,6281,2022
17/10/2022,7:00 PM,Regular round,8,Hapoel Beer Sheva,Sekzia Ness Ziona,4,14,Sekzia Ness Ziona,1,1,Nael Odeh,Toto Jacob Turner Stadium,9770,2022
17/10/2022,7:30 PM,Regular round,8,Maccabi Haifa,Hapoel Hadera,2,7,Hapoel Hadera,1,0,Snir Levi,Sammy Ofer Stadium,29764,2022
22/10/2022,4:30 PM,Regular round,9,Hapoel Jerusalem,Hapoel Beer Sheva,4,3,Hapoel Jerusalem,1,4,Orel Grinfeld,Teddy-Kollek-Stadion,4907,2022
22/10/2022,5:45 PM,Regular round,9,Hapoel Haifa,Sekzia Ness Ziona,11,12,Sekzia Ness Ziona,0,1,Erez Papir,Sammy Ofer Stadium,1980,2022
22/10/2022,6:45 PM,Regular round,9,FC Ashdod,Beitar Jerusalem,5,9,Beitar Jerusalem,0,2,Aviad Shiloah,Yud-Alef Stadion,5101,2022
22/10/2022,7:15 PM,Regular round,9,Ironi Kiryat Shmona,Maccabi Haifa,10,2,Ironi Kiryat Shmona,2,3,Nael Odeh,Kiryat Shmona Municipal Stadium,5202,2022
23/10/2022,6:00 PM,Regular round,9,Maccabi Bnei Reineh,Ihud Bnei Sakhnin,7,6,Maccabi Bnei Reineh,2,0,Roi Reinshreiber,Green Stadium,2870,2022
23/10/2022,8:00 PM,Regular round,9,Hapoel Hadera,Hapoel Tel Aviv,8,13,Hapoel Tel Aviv,0,0,Gal Levi,Netanya Stadium,2400,2022
24/10/2022,7:30 PM,Regular round,9,Maccabi Tel Aviv,Maccabi Netanya,1,14,Maccabi Netanya,3,0,Gal Leibovitz,Bloomfield,25318,2022
29/10/2022,4:00 PM,Regular round,10,Maccabi Haifa,FC Ashdod,1,6,FC Ashdod,3,1,Gal Leibovitz,Sammy Ofer Stadium,29176,2022
29/10/2022,5:45 PM,Regular round,10,Ihud Bnei Sakhnin,Hapoel Hadera,7,5,Ihud Bnei Sakhnin,1,4,Yoav Mizrahi,Doha Stadium,2000,2022
29/10/2022,5:45 PM,Regular round,10,Sekzia Ness Ziona,Hapoel Jerusalem,14,4,Sekzia Ness Ziona,0,2,Majed Rushrush,HaMoshava Stadium,1276,2022
