season,clubs_name,round,promoted,game,win,draw,lose,goals,g_difference,pts,team_pos
22/23,Hapoel Hadera,6,0,Regular,1,4,1,6:11,-5,7,8
22/23,Maccabi Bnei Reineh,6,0,Regular,1,3,2,7:12,-5,6,9
22/23,Maccabi Netanya,6,0,Regular,1,2,3,6:9,-3,5,10
22/23,Hapoel Tel Aviv,6,0,Regular,1,0,5,8:14,-6,3,11
22/23,Sekzia Ness Ziona,6,0,Regular,1,0,5,5:14,-9,3,12
22/23,Beitar Jerusalem,6,0,Regular,1,0,5,6:17,-11,3,13
22/23,Maccabi Tel Aviv,7,0,Regular,5,1,1,21:3,18,16,0
22/23,Maccabi Haifa,7,0,Regular,5,0,2,12:7,5,15,1
22/23,Hapoel Jerusalem,7,0,Regular,4,2,1,13:5,8,14,2
22/23,Hapoel Beer Sheva,7,0,Regular,4,1,2,15:9,6,13,3
22/23,Ihud Bnei Sakhnin,7,0,Regular,4,1,2,8:4,4,13,4
22/23,FC Ashdod,7,0,Regular,2,4,1,6:7,-1,10,5
22/23,Hapoel Hadera,7,0,Regular,2,4,1,8:12,-4,10,6
22/23,Maccabi Bnei Reineh,7,0,Regular,2,3,2,8:12,-4,9,7
22/23,Hapoel Haifa,7,0,Regular,1,5,1,8:7,1,8,8
22/23,Ironi Kiryat Shmona,7,0,Regular,1,5,1,8:8,0,8,9
22/23,Maccabi Netanya,7,0,Regular,1,3,3,7:10,-3,6,10
22/23,Sekzia Ness Ziona,7,0,Regular,1,1,5,6:15,-9,4,11
22/23,Hapoel Tel Aviv,7,0,Regular,1,0,6,8:17,-9,3,12
22/23,Beitar Jerusalem,7,0,Regular,1,0,6,7:19,-12,3,13
22/23,Maccabi Tel Aviv,8,0,Regular,6,1,1,22:3,19,19,0
22/23,Maccabi Haifa,8,0,Regular,6,0,2,13:7,6,18,1
22/23,Hapoel Jerusalem,8,0,Regular,5,2,1,15:5,10,17,2
22/23,Hapoel Beer Sheva,8,0,Regular,4,2,2,16:10,6,14,3
22/23,FC Ashdod,8,0,Regular,3,4,1,10:7,3,13,4
22/23,Ihud Bnei Sakhnin,8,0,Regular,4,1,3,8:5,3,13,5
22/23,Hapoel Hadera,8,0,Regular,2,4,2,8:13,-5,10,6
22/23,Maccabi Bnei Reineh,8,0,Regular,2,3,3,8:14,-6,9,7
22/23,Ironi Kiryat Shmona,8,0,Regular,1,5,2,8:10,-2,8,8
22/23,Hapoel Haifa,8,0,Regular,1,5,2,8:11,-3,8,9
22/23,Maccabi Netanya,8,0,Regular,1,3,4,7:12,-5,6,10
22/23,Hapoel Tel Aviv,8,0,Regular,2,0,6,10:17,-7,6,11
22/23,Beitar Jerusalem,8,0,Regular,2,0,6,9:19,-10,6,12
22/23,Sekzia Ness Ziona,8,0,Regular,1,2,5,7:16,-9,5,13
22/23,Maccabi Tel Aviv,9,0,Regular,7,1,1,25:3,22,22,0
22/23,Maccabi Haifa,9,0,Regular,7,0,2,16:9,7,21,1
22/23,Hapoel Beer Sheva,9,0,Regular,5,2,2,20:11,9,17,2
22/23,Hapoel Jerusalem,9,0,Regular,5,2,2,16:9,7,17,3
22/23,FC Ashdod,9,0,Regular,3,4,2,10:9,1,13,4
22/23,Ihud Bnei Sakhnin,9,0,Regular,4,1,4,8:7,1,13,5
22/23,Maccabi Bnei Reineh,9,0,Regular,3,3,3,10:14,-4,12,6
22/23,Hapoel Hadera,9,0,Regular,2,5,2,8:13,-5,11,7
22/23,Beitar Jerusalem,9,0,Regular,3,0,6,11:19,-8,9,8
22/23,Ironi Kiryat Shmona,9,0,Regular,1,5,3,10:13,-3,8,9
22/23,Hapoel Haifa,9,0,Regular,1,5,3,8:12,-4,8,10
22/23,Sekzia Ness Ziona,9,0,Regular,2,2,5,8:16,-8,8,11
22/23,Hapoel Tel Aviv,9,0,Regular,2,1,6,10:17,-7,7,12
22/23,Maccabi Netanya,9,0,Regular,1,3,5,7:15,-8,6,13
22/23,Maccabi Haifa,10,0,Regular,8,0,2,19:10,9,24,0
22/23,Maccabi Tel Aviv,10,0,Regular,7,1,2,25:5,20,22,1
22/23,Hapoel Beer Sheva,10,0,Regular,6,2,2,22:11,11,20,2
22/23,Hapoel Jerusalem,10,0,Regular,6,2,2,18:9,9,20,3
22/23,Hapoel Hadera,10,0,Regular,3,5,2,12:14,-2,14,4
22/23,FC Ashdod,10,0,Regular,3,4,3,11:12,-1,13,5
22/23,Ihud Bnei Sakhnin,10,0,Regular,4,1,5,9:11,-2,13,6
22/23,Maccabi Bnei Reineh,10,0,Regular,3,3,4,11:16,-5,12,7
22/23,Hapoel Tel Aviv,10,0,Regular,3,1,6,12:18,-6,10,8
22/23,Beitar Jerusalem,10,0,Regular,3,1,6,11:19,-8,10,9
22/23,Hapoel Haifa,10,0,Regular,1,6,3,8:12,-4,9,10
22/23,Maccabi Netanya,10,0,Regular,2,3,5,9:16,-7,9,11
22/23,Ironi Kiryat Shmona,10,0,Regular,1,5,4,11:15,-4,8,12
22/23,Sekzia Ness Ziona,10,0,Regular,2,2,6,8:18,-10,8,13
22/23,Maccabi Haifa,11,0,Regular,9,0,2,23:11,12,27,0
22/23,Maccabi Tel Aviv,11,0,Regular,7,2,2,26:6,20,23,1
22/23,Hapoel Beer Sheva,11,0,Regular,7,2,2,25:11,14,23,2
22/23,Hapoel Jerusalem,11,0,Regular,6,2,3,18:10,8,20,3
22/23,Hapoel Hadera,11,0,Regular,4,5,2,15:15,0,17,4
22/23,FC Ashdod,11,0,Regular,4,4,3,12:12,0,16,5
22/23,Ihud Bnei Sakhnin,11,0,Regular,4,2,5,10:12,-2,14,6
22/23,Hapoel Haifa,11,0,Regular,2,6,3,9:12,-3,12,7
22/23,Maccabi Bnei Reineh,11,0,Regular,3,3,5,11:19,-8,12,8
22/23,Hapoel Tel Aviv,11,0,Regular,3,1,7,12:19,-7,10,9
22/23,Beitar Jerusalem,11,0,Regular,3,1,7,12:23,-11,10,10
22/23,Ironi Kiryat Shmona,11,0,Regular,1,6,4,12:16,-4,9,11
22/23,Maccabi Netanya,11,0,Regular,2,3,6,10:19,-9,9,12
22/23,Sekzia Ness Ziona,11,0,Regular,2,3,6,9:19,-10,9,13
22/23,Maccabi Haifa,12,0,Regular,10,0,2,24:11,13,30,0
22/23,Maccabi Tel Aviv,12,0,Regular,8,2,2,29:6,23,26,1
22/23,Hapoel Beer Sheva,12,0,Regular,8,2,2,28:11,17,26,2
22/23,Hapoel Jerusalem,12,0,Regular,6,2,4,18:13,5,20,3
22/23,FC Ashdod,12,0,Regular,4,5,3,13:13,0,17,4
22/23,Hapoel Hadera,12,0,Regular,4,5,3,15:18,-3,17,5
22/23,Ihud Bnei Sakhnin,12,0,Regular,4,3,5,11:13,-2,15,6
22/23,Hapoel Tel Aviv,12,0,Regular,4,1,7,14:20,-6,13,7
22/23,Maccabi Bnei Reineh,12,0,Regular,3,4,5,14:22,-8,13,8
22/23,Hapoel Haifa,12,0,Regular,2,6,4,9:13,-4,12,9
22/23,Maccabi Netanya,12,0,Regular,3,3,6,11:19,-8,12,10
22/23,Sekzia Ness Ziona,12,0,Regular,2,4,6,12:22,-10,10,11
22/23,Beitar Jerusalem,12,0,Regular,3,1,8,13:25,-12,10,12
22/23,Ironi Kiryat Shmona,12,0,Regular,1,6,5,12:17,-5,9,13
22/23,Maccabi Haifa,13,0,Regular,11,0,2,29:13,16,33,0
22/23,Maccabi Tel Aviv,13,0,Regular,9,2,2,30:6,24,29,1
22/23,Hapoel Beer Sheva,13,0,Regular,9,2,2,30:11,19,29,2
22/23,Hapoel Jerusalem,13,0,Regular,7,2,4,20:13,7,23,3
22/23,Hapoel Hadera,13,0,Regular,4,6,3,15:18,-3,18,4
22/23,FC Ashdod,13,0,Regular,4,5,4,15:16,-1,17,5
22/23,Ihud Bnei Sakhnin,13,0,Regular,4,3,6,12:15,-3,15,6
22/23,Maccabi Netanya,13,0,Regular,4,3,6,14:21,-7,15,7
22/23,Hapoel Tel Aviv,13,0,Regular,4,1,8,16:25,-9,13,8
22/23,Maccabi Bnei Reineh,13,0,Regular,3,4,6,14:24,-10,13,9
22/23,Beitar Jerusalem,13,0,Regular,4,1,8,15:26,-11,13,10
22/23,Hapoel Haifa,13,0,Regular,2,6,5,9:14,-5,12,11
