,date,kot,round_type,round,home_team,away_team,home_position,away_position,underdog,home_score,away_score,referee,stadium,attendance,season,home_won,away_won,draw,derby,while_world_cup,kot_15_16,kot_16_17,kot_17_18,kot_18_19,kot_19_20,kot_20_21,kot_21_22,kot_22_23,while_champion_league,while_european_games,home_key,away_key,home_promoted,home_league_pts,home_is_relegated,home_is_champion,home_pos_b4_game,away_promoted,away_league_pts,away_is_relegated,away_is_champion,away_pos_b4_game
15,2022-09-03,1900-01-01 19:00:00,Regular Season,3,Hapoel Jerusalem,FC Ashdod,5,4,Hapoel Jerusalem,3,0,Niv Steif,HaMoshava Stadium,1209,2022,1,0,0,0,0,False,False,False,False,True,False,False,False,0,1,2022 - Regular Season - 3 - Hapoel Jerusalem,2022 - Regular Season - 3 - FC Ashdod,0,5,,,9,0,6,,,3
16,2022-09-03,1900-01-01 20:00:00,Regular Season,3,Hapoel Haifa,Ihud Bnei Sakhnin,6,3,Hapoel Haifa,1,2,Aviad Shiloah,Sammy Ofer Stadium,3100,2022,0,1,0,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 3 - Hapoel Haifa,2022 - Regular Season - 3 - Ihud Bnei Sakhnin,0,4,,,5,0,6,,,7
17,2022-09-03,1900-01-01 20:15:00,Regular Season,3,Hapoel Beer Sheva,Maccabi Haifa,9,2,Hapoel Beer Sheva,1,2,Igal Frid,Toto Jacob Turner Stadium,14425,2022,0,1,0,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 3 - Hapoel Beer Sheva,2022 - Regular Season - 3 - Maccabi Haifa,0,3,,,6,0,9,,,2
18,2022-09-04,1900-01-01 19:00:00,Regular Season,3,Maccabi Bnei Reineh,Hapoel Hadera,13,8,Maccabi Bnei Reineh,1,2,Gal Levi,Green Stadium,766,2022,0,1,0,0,0,False,False,False,False,True,False,False,False,0,1,2022 - Regular Season - 3 - Maccabi Bnei Reineh,2022 - Regular Season - 3 - Hapoel Hadera,1,1,,,10,0,4,,,11
19,2022-09-04,1900-01-01 20:15:00,Regular Season,3,Sekzia Ness Ziona,Beitar Jerusalem,14,12,Sekzia Ness Ziona,0,3,Idan Leiba,HaMoshava Stadium,4833,2022,0,1,0,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 3 - Sekzia Ness Ziona,2022 - Regular Season - 3 - Beitar Jerusalem,1,0,,,12,0,3,,,14
20,2022-09-05,1900-01-01 20:15:00,Regular Season,3,Maccabi Netanya,Hapoel Tel Aviv,10,11,Hapoel Tel Aviv,0,2,Eitan Shmuelevic,Netanya Stadium,8256,2022,0,1,0,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 3 - Maccabi Netanya,2022 - Regular Season - 3 - Hapoel Tel Aviv,0,3,,,8,0,3,,,13
21,2022-09-10,1900-01-01 18:00:00,Regular Season,4,Maccabi Haifa,Sekzia Ness Ziona,1,14,Sekzia Ness Ziona,3,1,Erez Papir,Sammy Ofer Stadium,28456,2022,1,0,0,0,0,False,False,False,True,False,False,False,False,0,1,2022 - Regular Season - 4 - Maccabi Haifa,2022 - Regular Season - 4 - Sekzia Ness Ziona,0,12,,,2,1,0,,,14
22,2022-09-10,1900-01-01 19:30:00,Regular Season,4,Hapoel Hadera,Hapoel Haifa,9,7,Hapoel Hadera,1,1,Nael Odeh,Netanya Stadium,989,2022,0,0,1,0,0,False,False,False,False,True,False,False,False,0,1,2022 - Regular Season - 4 - Hapoel Hadera,2022 - Regular Season - 4 - Hapoel Haifa,0,5,,,8,0,5,,,6
23,2022-09-10,1900-01-01 19:30:00,Regular Season,4,Ihud Bnei Sakhnin,Maccabi Netanya,4,10,Maccabi Netanya,0,0,Shalom Ben Avraham,Doha Stadium,3180,2022,0,0,1,0,0,False,False,False,False,True,False,False,False,0,1,2022 - Regular Season - 4 - Ihud Bnei Sakhnin,2022 - Regular Season - 4 - Maccabi Netanya,0,7,,,3,0,4,,,10
24,2022-09-10,1900-01-01 20:15:00,Regular Season,4,FC Ashdod,Maccabi Tel Aviv,5,2,FC Ashdod,0,0,Orel Grinfeld,Yud-Alef Stadion,6054,2022,0,0,1,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 4 - FC Ashdod,2022 - Regular Season - 4 - Maccabi Tel Aviv,0,7,,,4,0,10,,,1
